framework_code,version,control_number,domain,title_en,title_ar,requirement_en,requirement_ar,control_type,maturity_level,implementation_guidance_en,evidence_requirements,mapping_iso27001,mapping_nist,status,source_file
NIST_CSF,v1.1,PR.AC-4,protect,Access Permissions,الصلاحيات والأذونات,Access permissions and authorizations managed incorporating least privilege,إدارة أذونات الوصول والتفويضات,preventive,3,Implement least privilege. Grant minimum necessary access. Require approvals. Review quarterly. Revoke promptly.,Least privilege policy|Access approvals|Quarterly reviews|Revocation procedures,A.9.2,PR.AC-4,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AC-3,protect,Remote Access Management,الوصول عن بعد,Remote access managed,إدارة الوصول عن بعد,preventive,4,Control remote access. Require VPN and MFA. Encrypt connections. Monitor sessions. Log activities.,VPN requirement|MFA enforcement|Encryption|Session monitoring|Access logs,A.13.2,PR.AC-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AC-2,protect,Physical Access Protection,الحماية المادية,Physical access to assets managed,حماية الأصول المادية,preventive,3,Control physical access to facilities and assets. Use badges locks cameras. Log entries. Review access.,Physical access controls|Badge systems|Entry logs|Access reviews,A.11.1,PR.AC-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.AC-1,protect,Identity Management,إدارة الهويات والتحقق,Identities and credentials issued managed verified revoked and audited,إصدار الهويات وبيانات الاعتماد,preventive,3,Implement identity management. Manage complete lifecycle. Verify identities. Audit access regularly.,IAM system|Lifecycle management|Verification procedures|Access audits,A.9.2,PR.AC-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.SC-5,identify,Supply Chain Event Response,استجابة لأحداث سلسلة التوريد,Response and recovery planning and testing conducted with suppliers,استجابة وتعافي التخطيط والاختبار مع الموردين,corrective,3,Include suppliers in incident response and BCP. Test coordination. Document procedures. Review regularly.,Supplier IR procedures|BCP coordination|Testing evidence|Procedure documentation,A.17.1,ID.SC-5,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.SC-4,identify,Supplier and Partner Assessment,تقييم الموردين والشركاء,Suppliers and third parties routinely assessed using audits test results or other evaluations,تقييم الموردين والشركاء باستخدام العمليات,detective,3,Assess supplier security regularly. Use questionnaires audits certifications. Document findings. Track remediation.,Supplier assessments|Audit results|Certifications|Remediation tracking,A.15.2,ID.SC-4,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.GV-3,identify,Legal and Regulatory Requirements,المتطلبات القانونية والتنظيمية,Legal and regulatory requirements understood and managed,فهم ومعالجة المتطلبات القانونية والتنظيمية,preventive,2,Identify applicable legal and regulatory requirements. Maintain compliance register. Monitor changes.,Compliance register|Legal requirements|Monitoring procedures,A.18.1,ID.GV-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.GV-4,identify,Governance and Risk Management,تقييم وإدارة الحوكمة والمخاطر,Governance and risk management processes address cybersecurity risks,تقييم وإدارة عمليات الحوكمة والمخاطر,preventive,3,Integrate cybersecurity into governance and risk management. Define processes. Monitor risks.,Governance framework|Risk management processes|Integration evidence,A.5.1,ID.GV-4,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RA-1,identify,Asset Vulnerabilities Identified,تحديد الثغرات والتهديدات,Asset vulnerabilities are identified and documented,تحديد وتوثيق ثغرات الأصول,detective,3,Conduct vulnerability assessments. Scan systems. Identify weaknesses. Document findings. Prioritize remediation.,Vulnerability scans|Assessment reports|Findings documentation|Prioritization,A.12.6,ID.RA-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RA-2,identify,Cyber Threat Intelligence,معلومات التهديدات السيبرانية,Cyber threat intelligence received from information sharing forums,استلام ومشاركة معلومات التهديدات السيبرانية,detective,3,Subscribe to threat intelligence feeds. Participate in sharing communities. Analyze threats. Apply intelligence.,Threat intel subscriptions|Sharing participation|Threat analysis|Application evidence,A.16.1,ID.RA-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RA-3,identify,Internal and External Threats,التهديدات الداخلية والخارجية,Threats both internal and external identified and documented,تحديد وتوثيق التهديدات من الداخل والخارج,detective,3,Identify potential threats: external attackers insiders natural disasters. Document threat scenarios. Update regularly.,Threat inventory|Threat scenarios|Regular updates,A.8.1,ID.RA-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RA-4,identify,Potential Impact Identified,تحديد الآثار المحتملة,Potential business impacts and likelihoods identified,تحديد الآثار المحتملة للأحداث,detective,3,Assess potential impacts of security events. Evaluate likelihood. Calculate risk levels. Document findings.,Impact analysis|Likelihood assessment|Risk calculations|Documentation,A.8.1,ID.RA-4,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.GV-1,identify,Organizational Cybersecurity Policy,السياسة التنظيمية,Organizational cybersecurity policy established and communicated,تحديد وتوصيل السياسة الأمنية التنظيمية,preventive,1,Develop comprehensive security policy. Obtain executive approval. Communicate organization-wide. Review annually.,Security policy|Executive approval|Communication evidence|Annual reviews,A.5.1,ID.GV-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RA-5,identify,Threats Vulnerabilities Impacts Used,استخدام التهديدات والثغرات والآثار,Threats vulnerabilities likelihoods and impacts used to determine risk,استخدام معلومات التهديدات والثغرات والآثار لتحديد المخاطر,detective,3,Combine threat vulnerability and impact data. Calculate comprehensive risk. Support risk decisions.,Risk assessment methodology|Combined analysis|Risk determinations,A.8.1,ID.RA-5,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RM-1,identify,Risk Management Process,تحديد عمليات إدارة المخاطر,Risk management processes established managed and agreed to,تحديد وتوثيق وإدارة عمليات إدارة المخاطر,preventive,3,Establish risk management processes. Document methodology. Obtain stakeholder agreement. Review regularly.,Risk management framework|Methodology documentation|Stakeholder agreement,A.8.1,ID.RM-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RM-2,identify,Risk Tolerance Determined,تحديد قبول المخاطر,Organizational risk tolerance determined and expressed,تحديد ومعايرة قبول المخاطر التنظيمية,preventive,2,Define risk appetite and tolerance. Express in measurable terms. Communicate to stakeholders. Review annually.,Risk appetite statement|Tolerance thresholds|Communication|Annual reviews,A.8.1,ID.RM-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RM-3,identify,Organization's Risk Tolerance,تحديد قبول المخاطر للمنظمة,Organization's determination of risk tolerance informed by its role in infrastructure,تحديد قبول المخاطر حسب دور المنظمة,preventive,2,Align risk tolerance with organizational role. Consider critical infrastructure position. Document rationale.,Risk tolerance documentation|Role consideration|Infrastructure alignment,A.8.1,ID.RM-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.SC-1,identify,Supply Chain Risk Management,إدارة مخاطر سلسلة التوريد,Cyber supply chain risk management processes identified documented and managed,تحديد وتوثيق وإدارة عمليات سلسلة التوريد,preventive,3,Establish supply chain risk management. Define processes. Document third-party requirements. Monitor compliance.,Supply chain risk process|Third-party requirements|Monitoring procedures,A.15.1,ID.SC-1,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.SC-2,identify,Suppliers and Partners Identified,تحديد الموردين,Suppliers and third-party partners identified prioritized and assessed,تحديد وتحديد أولويات الموردين والشركاء,detective,3,Identify all suppliers and partners. Prioritize by criticality. Assess risks. Document relationships.,Supplier inventory|Criticality rankings|Risk assessments|Relationship documentation,A.15.1,ID.SC-2,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.SC-3,identify,Supplier Contracts,عقود الموردين,Contracts with suppliers and partners address cybersecurity requirements,استخدام العقود لمعالجة مخاطر الأمن السيبراني,preventive,3,Include cybersecurity requirements in supplier contracts. Cover security controls incident notification audit rights.,Contract security clauses|Supplier agreements|Requirements coverage,A.15.1,ID.SC-3,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,ID.RA-6,identify,Risk Responses Identified,تحديد استجابات المخاطر,Risk responses identified and prioritized,تحديد وترتيب أولويات استجابات المخاطر,preventive,3,Identify risk treatment options: mitigate transfer accept avoid. Prioritize responses. Obtain approvals.,Risk treatment plans|Prioritization|Approvals,A.8.1,ID.RA-6,active,controls_nist_csf_v1_complete.csv
NIST_CSF,v1.1,PR.DS-4,protect,Adequate Capacity,القدرة الكافية,Adequate capacity to ensure availability maintained,الحفاظ على القدرة الكافية,preventive,2,Monitor capacity continuously. Plan for growth. Maintain adequate resources. Scale as needed.,Capacity monitoring|Growth planning|Resource adequacy|Scaling procedures,A.12.1,PR.DS-4,active,controls_nist_csf_v1_complete.csv
NCA-ECC,v2.0,8.3.2,development,Access Control,التحكم في الوصول,Control access to source code,التحكم في الوصول لكود المصدر,preventive,3,Restrict source code access. Use version control. Require authentication. Log access. Review permissions.,Source control setup|Access controls|Access logs|Permission reviews,A.14.2,PR.AC-4,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,8.2.3,development,Vulnerability Assessment,فحص الثغرات,Assess vulnerabilities,فحص الثغرات الأمنية,detective,3,Scan systems quarterly for vulnerabilities. Prioritize by severity. Remediate critical within 30 days.,Scan schedule|Scan results|Vulnerability tracking|Remediation evidence,A.12.6,DE.CM-8,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,4.3.2,auth,Session Management,إدارة الجلسات,Manage user sessions securely,إدارة جلسات المستخدمين بشكل آمن,preventive,3,Implement session timeouts after inactivity. Require re-authentication. Lock workstations. Clear sessions on logout.,Session configuration|Timeout settings|Workstation lock policy,A.9.4|A.11.2,PR.AC-7,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,4.3.1,auth,Multi-Factor Authentication,المصادقة المتعددة العوامل,Implement multi-factor authentication for sensitive access,تطبيق المصادقة متعددة العوامل للوصول الحساس,preventive,4,Require MFA for: remote access admin accounts financial systems. Use TOTP SMS or hardware tokens.,MFA policy|MFA configuration|User enrollment|Authentication logs,A.9.4,PR.AC-7,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,4.2.4,user,User Rights Review,مراجعة حقوق المستخدمين,Review user access rights periodically,مراجعة حقوق وصول المستخدمين دورياً,detective,3,Review user access quarterly. Verify appropriateness. Remove orphaned accounts. Document reviews.,Review procedure|Review reports|Cleanup logs,A.9.2,PR.AC-4,active,controls_nca_ecc_v2_complete.csv
NCA-ECC,v2.0,4.2.3,user,Password Management,إدارة كلمات المرور,Implement strong password standards,تطبيق معايير قوية لكلمات المرور,preventive,3,Enforce password complexity (12+ chars mixed case numbers symbols). Require periodic changes. Prevent reuse.,Password policy|System configuration|Compliance evidence,A.9.4,PR.AC-1,active,controls_nca_ecc_v2_complete.csv
