code,version,title_ar,title_en,regulator_code,category,mandatory,effective_date,total_controls,status,official_ref,description_en,description_ar,notes
MOH-PATIENTRIGHTS,v2022,ميثاق حقوق المريض,Patient Rights Charter,MOH,sector_specific,True,2022-01-01,45,active,https://moh.gov.sa/en/Support/Pages/PatientRights.aspx,Patient rights and healthcare provider obligations,حقوق المريض والتزامات مقدمي الرعاية الصحية,
SFDA-MD,v4.1,تنظيم الأجهزة والمنتجات الطبية,Medical Devices Regulations,SFDA,sector_specific,True,2023-06-01,87,active,https://sfda.gov.sa/en/regulations,Medical device registration and quality standards,تسجيل الأجهزة الطبية ومعايير الجودة,
SFDA-PHARMA,v5.0,تنظيم المستحضرات الصيدلانية,Pharmaceutical Regulations,SFDA,sector_specific,True,2023-01-01,134,active,https://sfda.gov.sa/en/drugs,Drug registration manufacturing and distribution,تسجيل وتصنيع وتوزيع الأدوية,
CBAHI-HAS,v4.0,معايير اعتماد المنشآت الصحية,Healthcare Accreditation Standards,CBAHI,sector_specific,False,2023-01-01,298,active,https://portal.cbahi.gov.sa,Healthcare facility accreditation standards,معايير اعتماد المنشآت الصحية,
MHRSD-LABORLAW,v2023,نظام العمل,Labor Law,MHRSD,national_law,True,2023-03-01,245,active,https://hrsd.gov.sa/en/labor-law,Employment contracts working hours and labor rights,عقود العمل وساعات العمل وحقوق العمال,
MISA-INVESTMENTLAW,v2021,نظام الاستثمار,Investment Law,MISA,national_law,True,2021-01-01,78,active,https://misa.gov.sa/en/investment-law,Foreign direct investment regulations and incentives,تنظيم وحوافز الاستثمار الأجنبي المباشر,
NCEC-ENVCOMPLIANCE,v2024,معايير الامتثال البيئي,Environmental Compliance Standards,NCEC,sector_specific,True,2024-01-01,156,active,https://ncec.gov.sa,Environmental impact assessment and monitoring,تقييم الأثر البيئي والمراقبة,
SASO-PRODUCTSAFETY,v2023,معايير سلامة المنتجات,Product Safety & Quality Standards,SASO,sector_specific,True,2023-01-01,467,active,https://saso.gov.sa/en/standards,Mandatory product certifications and conformity,الشهادات الإلزامية للمنتجات والمطابقة,
ISO_27001,v2022,نظام إدارة أمن المعلومات,Information Security Management System,ISO,international,False,2022-10-01,93,active,https://iso.org/standard/27001,ISO/IEC 27001:2022 Annex A controls,ضوابط الملحق أ لمعيار ISO/IEC 27001:2022,
ISO27017,v2015,أمن الحوسبة السحابية,Cloud Security Controls,ISO,international,False,2015-12-01,37,active,https://iso.org/standard/27017,ISO/IEC 27017:2015 cloud-specific controls,ضوابط ISO/IEC 27017:2015 الخاصة بالسحابة,
ISO27018,v2019,حماية خصوصية الحوسبة السحابية,Cloud Privacy Controls,ISO,international,False,2019-01-01,43,active,https://iso.org/standard/27018,ISO/IEC 27018:2019 PII protection in cloud,حماية البيانات الشخصية في الحوسبة السحابية,
ISO22301,v2019,إدارة استمرارية الأعمال,Business Continuity Management,ISO,international,False,2019-10-01,67,active,https://iso.org/standard/22301,ISO 22301:2019 BCMS requirements,متطلبات نظام إدارة استمرارية الأعمال,
ISO9001,v2015,إدارة الجودة,Quality Management System,ISO,international,False,2015-09-01,84,active,https://iso.org/standard/9001,ISO 9001:2015 quality management,نظام إدارة الجودة ISO 9001:2015,
ISO20000,v2018,إدارة خدمات تقنية المعلومات,IT Service Management,ISO,international,False,2018-09-01,76,active,https://iso.org/standard/20000,ISO/IEC 20000-1:2018 ITSM,إدارة خدمات تقنية المعلومات,
NIST_CSF,v1.1,إطار الأمن السيبراني,Cybersecurity Framework,NIST,international,False,2018-04-16,108,active,https://nist.gov/cyberframework,NIST Cybersecurity Framework v1.1,إطار NIST للأمن السيبراني,
NIST-800-53,Rev5,ضوابط الأمن والخصوصية,Security & Privacy Controls,NIST,international,False,2020-09-01,1006,active,https://csrc.nist.gov/publications/sp800-53,NIST SP 800-53 Rev 5 comprehensive controls,ضوابط NIST الشاملة للأمن والخصوصية,
PCI_DSS,v4.0,معيار أمان بيانات بطاقات الدفع,Payment Card Industry Data Security Standard,PCI-SSC,international,True,2022-03-31,362,active,https://pcisecuritystandards.org,PCI DSS v4.0 for payment card processors,معيار PCI DSS v4.0 لمعالجي بطاقات الدفع,
SOC_2,v2023,ضوابط المؤسسات الخدمية - النوع الثاني,Service Organization Controls Type 2,AICPA,international,False,2023-01-01,64,active,https://aicpa.org/soc,SOC 2 trust service criteria,معايير ثقة SOC 2,
COBIT,v2019,إطار حوكمة وإدارة تقنية المعلومات,IT Governance & Management Framework,ISACA,international,False,2019-01-01,40,active,https://isaca.org/cobit,COBIT 2019 governance framework,إطار حوكمة COBIT 2019,
HITRUST-CSF,v11,إطار الأمن السيبراني للرعاية الصحية,Healthcare Security Framework,HITRUST,international,False,2023-01-01,156,active,https://hitrustalliance.net,HITRUST CSF v11 for healthcare,إطار الأمن السيبراني للرعاية الصحية,
CIS-CONTROLS,v8.0,ضوابط الأمن السيبراني الأساسية,Critical Security Controls,CIS,best_practice,False,2021-05-01,18,active,https://cisecurity.org/controls,CIS Controls v8.0 - 18 controls,ضوابط CIS الأساسية - 18 ضابط,
OWASP-ASVS,v4.0,معيار التحقق من أمان التطبيقات,Application Security Verification Standard,OWASP,best_practice,False,2021-03-01,286,active,https://owasp.org/asvs,OWASP ASVS v4.0 for secure development,معيار OWASP للتطوير الآمن,
GDPR,v2018,اللائحة العامة لحماية البيانات,General Data Protection Regulation,EU,international,False,2018-05-25,37,active,https://gdpr.eu,EU GDPR for organizations processing EU data,اللائحة الأوروبية لحماية البيانات,
HIPAA,v2013,قانون نقل التأمين الصحي والمساءلة,Health Insurance Portability & Accountability Act,HHS,international,False,2013-01-25,45,active,https://hhs.gov/hipaa,US HIPAA for healthcare data protection,قانون حماية بيانات الرعاية الصحية الأمريكي,
DGA-IM,2024,منهجية قياس نضج التحول الرقمي,Digital Maturity Measurement,DGA,national_law,True,2025-10-24,0,active,,Digital Maturity Measurement,منهجية قياس نضج التحول الرقمي,
CST-Cloud,,تنظيم الحوسبة السحابية,Cloud Computing Regulations,CST,national_law,True,2025-10-24,0,active,,Cloud Computing Regulations,تنظيم الحوسبة السحابية,
ZATCA-EINV,Phase 2,الفوترة الإلكترونية,E-Invoicing Regulations,ZATCA,national_law,True,2025-10-24,0,active,,E-Invoicing Regulations,الفوترة الإلكترونية,
